date,temp,wind,rain
2013012317,0.725,1.15,0.125
2013012318,0.3,1.275,0
2013012319,-0.15,1.175,0
2013012302,1,1.6,0
2013012320,-0.35,1.075,0
2013012321,-0.4,1.2,0
2013012322,-0.8,1.25,0
2013012323,-1.4,1.05,0
2013012303,0.75,1.3,0
2013012304,0.525,1.475,0
2013012305,0.65,1.4,0
2013012306,0.75,1.575,0
2013012307,0.725,1.4,0.125
2013012308,0.475,1.45,0.125
2013012309,0.375,1.95,0
2013012400,-1.55,1.2,0
2013012401,-1.975,1.275,0
2013012410,-0.775,2.125,0.125
2013012411,-0.325,2.525,0
2013012412,-0.175,3.05,0
2013012413,-0.3,3.525,0.125
2013012414,-0.575,4.1,0
2013012415,-1,3.65,0
2013012416,-1.65,4.35,0
2013012417,-2.55,3.45,0.125
2013012418,-3.45,3.35,0
2013012419,-4.9,4.7,0
2013012402,-1.75,0.75,0
2013012420,-6.175,4.225,0
2013012421,-6.975,4.125,0
2013012422,-7.3,2.95,0
2013012423,-7.75,3.125,0
2013012403,-1.475,1.125,0
2013012404,-1.625,0.625,0
2013012405,-1.575,0.95,0
2013012406,-1.275,1.15,0
2013012407,-1,1.25,0
2013012408,-0.8,1.15,0
2013012409,-0.95,0.85,0
2013012500,-8.75,3.425,0
2013012501,-9.775,3.625,0
2013012510,-11.375,3.4,0
2013012511,-10.75,3.2,0
2013012512,-9.825,2.9,0
2013012513,-9.675,3.125,0
2013012514,-9.475,3.925,0
2013012515,-8.925,3.475,0
2013012516,-8.85,2.75,0
2013012517,-9.125,2.2,0
2013012518,-10.425,2.2,0
2013012519,-10.875,2,0
2013012502,-10.325,2.525,0
2013012520,-11.05,2.1,0
2013012521,-11.275,2.625,0
2013012522,-11.675,3,0
2013012523,-12.2,3.05,0
2013012503,-10.725,2.975,0
2013012504,-11.075,2.725,0
2013012505,-11.425,2.825,0
2013012506,-11.55,2.475,0
2013012507,-11.875,2.85,0
2013012508,-11.95,3,0
2013012509,-11.575,3.25,0
2013012600,-12.325,3.925,0
2013012601,-12.6,2.8,0
2013012610,-12.15,2.75,0
2013012611,-11.15,2.725,0
2013012612,-10.125,2.525,0
2013012613,-8.8,2.675,0
2013012614,-8.4,3.5,0
2013012615,-7.975,2.55,0
2013012616,-7.325,2.325,0
2013012617,-7.8,1.75,0
2013012618,-8.85,2.525,0
2013012619,-9.65,2.6,0
2013012602,-12.975,2.9,0
2013012620,-10.125,3.275,0
2013012621,-10.625,3.275,0
2013012622,-11.1,3.375,0
2013012623,-11.6,3.35,0
2013012603,-13.15,2.45,0
2013012604,-13.575,3.225,0
2013012605,-13.675,2.675,0
2013012606,-13.7,2.5,0
2013012607,-13.7,2.5,0
